pc_brand,condition,discription,price
Other,New,"[<p>MSI Gaming laptop<br/>
GTX 1070 8gb dedicated graphics card</p>, <p>Intel(R) Core(TM) i7-8300H 8th</p>, <p>512 GB SSD storage</p>, <p>16GB RAM DDR4 Memory</p>, <p>15.6 inch screen size</p>, <p>Nvidia Geforce GTX 1070  8GB dedicated graphics</p>, <p>Price. 85,000 birr<br/>
Call</p>]","Br 85,000"
Other,New,"[<p>MSI Gaming laptop<br/>
GTX 1070 8gb dedicated graphics card</p>, <p>Intel(R) Core(TM) i7-8300H 8th</p>, <p>512 GB SSD storage</p>, <p>16GB RAM DDR4 Memory</p>, <p>15.6 inch screen size</p>, <p>Nvidia Geforce GTX 1070  8GB dedicated graphics</p>, <p>Price. 85,000 birr</p>]","Br 85,000"
Other,New,"[<p>MSI Gaming laptop<br/>
GTX 1070 8gb dedicated graphics card</p>, <p>Intel(R) Core(TM) i7-8300H 8th</p>, <p>512 GB SSD storage</p>, <p>16GB RAM DDR4 Memory</p>, <p>15.6 inch screen size</p>, <p>Nvidia Geforce GTX 1070  8GB dedicated graphics</p>, <p>Price. 85,000 birr</p>]","Br 85,000"
Hp,New,"[<p>🔵💻Hp ENVY Gaming Laptop<br/>
❤️ New Coming 3pic Avaliable</p>, <p>✅PROCESSOR Core i5(6th gen)</p>, <p>Model : Hp envy</p>, <p>Condition: Brand New!</p>, <p>🖥 Screen :15.6 inch</p>, <p>📼 Storage : 256gb SSD+1TB HDD</p>, <p>⏳Ram : 8gb ram</p>, <p>💎 GRAPHICS:4gb NIVIDA GTX 950<br/>
✅4GB Dedicated Graphics</p>, <p>🔋: above 4hr.+ hours battery life</p>, <p>👉white keyboard light</p>, <p>👉B&amp;O HD Sound system</p>, <p>💵Price.......55500Bir</p>]","Br 55,500"
Acer,New,"[<p>❇️ acer nitro ❇️<br/>
🔱GAMING LAPTOP<br/>
⚜️amd ryzen 9 5900hx<br/>
❇️Base speed @2.30Ghz<br/>
❇️Up to4.9Ghz processor speed<br/>
💠1tb ssd storage<br/>
💠16GB RAM 3200MHz speed<br/>
💻15.6"" inch screen<br/>
🖥️FullHD 165Hz Refresh rate<br/>
🔆keyboard Backlight<br/>
🔋BEST BATTERY LIFE🔋</p>, <p>✴️NVIDIA GeForce rtx 3070 8gb Dedicated Graphics ✴️</p>, <p>#PRICE 140,000 Birr</p>]","Br 140,000"
Hp,New,"[<p>New Arrival 😎 GAMING LAPTOP<br/>
✅HP OMEN-X  120HZ<br/>
Intel™ Core i7 7TH GEN!!<br/>
🔅Storage : 128GB SSD + 1TB HDD<br/>
🔅Ram : 8GB  DDR4<br/>
🔅Graphics: GTX 1060 6gb nividia GRAPHICS<br/>
🔅Battery: 4HR plus<br/>
🔅 Inch : 15.6 Full HD<br/>
Price...77,000etb</p>]","Br 77,000"
Lenovo,New,"[<p>Brand New  Lenovo Legion Gaming 12th generation 💧</p>, <p>✍12th Generation Lenovo Core i5 with 5.0GHZ TurboBoost  processor speed</p>, <p>🖍 it is Packed with cartoon</p>, <p>🖍Lenovo Core i5 12th Generation(2023 year ) Ultra-slim  Laptop with black edition</p>, <p>🖍RTX 3050 Ti 4GB Nvidia graphics card</p>, <p>❇️12th  generation New <br/>
                 <br/>
❇️Full HD  IPS micro-edge  Corning<br/>
Gorilla, with Eyes detect </p>, <p>❇️16GB DDR4L  RAM with 3200MHZ speed</p>, <p>❇️512GB SSD(100 Times faster than Hard disk)</p>, <p>❇️Edge to edge screen with IPS display</p>, <p>❇️DTS  speakers</p>, <p>❇️15.6 "" inch screen with Full HD resolution</p>, <p>❇️Ultra-slim  Blue black-color</p>, <p>🩸Price.....99,000birr🩸</p>, <p>Origional Computers stock</p>, <p>ℹ️ For more info</p>]","Br 99,000"
Hp,New,"[<p>❇️Come again ❇️❇️<br/>
HP Omen  gaming laptop Intel core i7  8th generation with Octa-core  processor</p>, <p>16GB DDR4 RAM </p>, <p>1TB HDD Storage</p>, <p>128GB SSD storage</p>, <p>6GB Nvidia GTX  1060 graphics</p>, <p>RGB Keyboard Light</p>, <p>15.6 inch laptop display,</p>, <p>dual layer DVD R/W,<br/>
LAN,</p>, <p>wifi, bluetooth</p>, <p>card reader<br/>
✅3 pics available<br/>
excellent battery life</p>, <p>Price....82000 birr<br/>
Call</p>]","Br 82,000"
Hp,New,"[<p>🎇🎇BRAND NEW GAMING LAPTOP🎇🎇<br/>
            ........OMEN 15 ........<br/>
💻intel  Core i7 - 10th Gen<br/>
💻1TB SSD Storage<br/>
💻16GB RAM<br/>
💻Full HD 1080<br/>
💻RGB🔴🟢🔵 Keyboard backlit<br/>
💻coolboost technology</p>, <p>💻15.6"" (inch)</p>, <p>🎆Nvidia Geforce RTX 3070 8GB GDDR6 dedicated graphics(VRam)</p>, <p>Price 132000ETB</p>]","Br 132,000"
Toshiba,Used Abroad,"[<p>Toshiba L50 Gaming Pc</p>, <p>Intel Core i5</p>, <p>Ram 12Gb</p>, <p>Storage 1tb had</p>, <p>Display Size 15.6 inch</p>, <p>Nvdiya GeForce GTX 950 4Gb</p>, <p>Used Excellent Condition</p>]","Br 39,800"
Other,New,"[<p>High end gaming laptops for gamers<br/>
✅Ryzen 9,RX 6800,12gb dedicated graphics card<br/>
✅with 300 hrz refresh rate<br/>
✅8cores and 16 logical processors( over clocked)<br/>
✅1tb ssd<br/>
✅16 gb ram<br/>
✅utra hd resolution<br/>
✅rgb,per key keyboard<br/>
✅15.6 thin bezel screen size<br/>
Price 149500 birr</p>]","Br 149,500"
Acer,New,"[<p>❇️ acer nitro ❇️<br/>
🔱GAMING LAPTOP<br/>
⚜️amd ryzen 9 5900hx<br/>
❇️Base speed @2.30Ghz<br/>
❇️Up to4.9Ghz processor speed<br/>
💠1tb ssd storage<br/>
💠16GB RAM 3200MHz speed<br/>
💻15.6"" inch screen<br/>
🖥️FullHD 165Hz Refresh rate<br/>
🔆keyboard Backlight<br/>
🔋BEST BATTERY LIFE🔋</p>, <p>✴️NVIDIA GeForce rtx 3070 8gb Dedicated Graphics ✴️</p>, <p>#PRICE 140,000 Birr</p>]","Br 140,000"
Other,New,[],"Br 185,000"
Acer,New,"[<p>acer nitro<br/>
GAMING LAPTOP<br/>
amd ryzen 9 5900hx<br/>
Base speed @2.30Ghz<br/>
Up to4.9Ghz processor speed<br/>
1tb ssd storage<br/>
16GB RAM 3200MHz speed<br/>
15.6"" inch screen<br/>
FullHD 165Hz Refresh rate<br/>
keyboard Backlight<br/>
BEST BATTERY LIFE</p>, <p>NVIDIA GeForce rtx 3070 8gb Dedicated Graphics</p>, <p>#PRICE Birr</p>]","Br 139,500"
Asus,New,"[<p>Brand New Gaming Laptop<br/>
ASUS TUF Gaming Ryzen 7<br/>
           15.6  INCH<br/>
512 GB SSD<br/>
16GB RAM<br/>
RGB Backlight<br/>
FULL HD DISPLAY</p>, <p>Nvidia Geforce GTX 1660ti 6GB dedicated graphics(VRam)</p>, <p>PRICE.........91000</p>]","Br 91,000"
